0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:23 +0200] "GET /Projekt/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:23 +0200] "GET /Projekt/benutzer.jsp HTTP/1.1" 200 7901
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:24 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:42:54 +0200] "POST /Projekt/auth/anmeldung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:42:54 +0200] "GET /Projekt/login.jsp?uid=1&versuch=1 HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:42:54 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:09 +0200] "POST /Projekt/auth/anmeldung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:09 +0200] "GET /Projekt/index.jsp HTTP/1.1" 200 6104
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:09 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:38 +0200] "GET /Projekt/index.jsp HTTP/1.1" 200 6104
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:54 +0200] "GET /Projekt/auth/abmeldung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:54 +0200] "GET /Projekt/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:54 +0200] "GET /Projekt/benutzer.jsp HTTP/1.1" 200 7901
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:54 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:55 +0200] "POST /Projekt/auth/anmeldung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:55 +0200] "GET /Projekt/login.jsp?uid=14&versuch=1 HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:56 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:58 +0200] "POST /Projekt/auth/anmeldung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:58 +0200] "GET /Projekt/login.jsp?uid=14&versuch=3 HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:44:58 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:00 +0200] "POST /Projekt/auth/anmeldung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:00 +0200] "GET /Projekt/index.jsp HTTP/1.1" 200 5875
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:45:00 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
